Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Ladies vs Ricky Bahl,tt1954598,09 Dec 2011,"Comedy, Crime, Drama","Ranveer Singh, Anushka Sharma, Parineeti Chopra","Devika Bhagat, Aditya Chopra, Habib Faisal",Maneesh Sharma,"A smooth and charming conman, Ricky Bahl, cons girls for a living but finally meets his match is this fun-filled ""ROM-CON.""",6.0,"9,772"
The Dirty Picture,tt1954206,02 Dec 2011,"Biography, Comedy, Drama","Vidya Balan, Emraan Hashmi, Tusshar Kapoor","Rajat Arora, Aditi Mediratta, Rajshri Sudhakar",Milan Luthria,"The love story between an actress and a director, inspired by the life of the late south Indian actress Silk Smitha.",6.6,"9,613"
Yuva,tt0382383,21 May 2004,"Action, Drama, Thriller","Ajay Devgn, Abhishek Bachchan, Rani Mukerji","Anurag Kashyap, Mani Ratnam",Mani Ratnam,"Michael, Arjun and Lallan, three men from three different strata of society, cross paths one morning in Calcutta and change one another's lives forever.",7.3,"8,884"
Maqbool,tt0379370,30 Jan 2004,"Crime, Drama, Thriller","Irrfan Khan, Tabu, Pankaj Kapur","Abbas Tyrewala, Vishal Bhardwaj, William Shakespeare",Vishal Bhardwaj,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,8.0,"10,798"
Phantom,tt1922685,01 Mar 2013,"Drama, History, Thriller","Ed Harris, Julian Adams, David Duchovny",Todd Robinson,Todd Robinson,"The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.",5.9,"14,446"
Salaam Bombay!,tt0096028,07 Oct 1988,"Crime, Drama","Shafiq Syed, Anjaan, Amrit Patel","Mira Nair, Sooni Taraporevala, Hriday Lani",Mira Nair,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.",7.9,"9,342"
Mother India,tt0050188,25 Oct 1957,"Action, Comedy, Drama","Nargis, Sunil Dutt, Rajendra Kumar Tuli","Wajahat Mirza, S. Ali Raza",Mehboob Khan,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, always sticks to her own moral code.",7.8,"9,226"
Agneepath,tt1849718,26 Jan 2012,"Action, Crime, Drama","Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt","Ila Bedi Dutta, Avinash Ghodke, Karan Malhotra",Karan Malhotra,A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,6.9,"24,184"
Koyla,tt0136352,07 Apr 1997,"Action, Drama, Musical","Shah Rukh Khan, Madhuri Dixit, Amrish Puri","Sachin Bhowmick, Ravi Kapoor, Anwar Khan",Rakesh Roshan,"A village girl agrees to a marriage to a king she has never met after he sends her a photograph of himself. But the man in the photograph is not the king but his most loyal slave, the handsome but mute Shankar.",6.3,"8,885"
Baaghi 2,tt6843812,30 Mar 2018,"Action, Crime, Drama","Tiger Shroff, Disha Patani, Jacqueline Fernandez","Sajid Nadiadwala, Jojo Khan, Abbaas Hierapurwala",Ahmed Khan,"A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India.",4.8,"10,629"
Shaitan,tt1836912,10 Jun 2011,"Action, Crime, Drama","Kalki Koechlin, Shiv Panditt, Gulshan Devaiah","Abhijeet Shirish Deshpande, K.S. Krishnan, Bejoy Nambiar",Bejoy Nambiar,Five substance-abusing friends decide to fake a kidnapping in order to bribe a police constable for covering-up a hit-and-run accident.,7.3,"8,441"
Jaan-E-Mann,tt0456481,20 Oct 2006,"Comedy, Drama, Musical","Salman Khan, Akshay Kumar, Preity Zinta",Shirish Kunder,Shirish Kunder,"Follows a love triangle between Agastya, Suhaan and Piya.",6.1,"8,647"
Bol Bachchan,tt1728986,06 Jul 2012,"Action, Comedy","Ajay Devgn, Amitabh Bachchan, Abhishek Bachchan","Yunus Sajawal, Sajid, Farhad Samji",Rohit Shetty,"All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies.",5.6,"8,995"
Ajnabee,tt0278291,21 Sep 2001,"Action, Crime, Drama","Akshay Kumar, Bobby Deol, Kareena Kapoor","Robin Bhatt, Sanjeev Duggal, Shyam Goel","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","A newlywed couple, Raj and Priya, move to Switzerland and become friends with their new neighbors, Vicky and Sonia. But one day, Sonia is murdered and Raj is accused of the murder. He goes on the run in order to prove himself inno...",6.3,"8,602"
Himmatwala,tt2344678,29 Mar 2013,"Action, Comedy, Drama","Ajay Devgn, Tamannaah Bhatia, Mahesh Manjrekar","K. Raghavendra Rao, Sajid Khan, Farhad Samji",Sajid Khan,"When a temple priest commits suicide after being dishonored by an evil landlord, his son returns to his native village on a mission of vengeance.",1.7,"8,614"
Heropanti,tt3142232,23 May 2014,"Action, Romance","Tiger Shroff, Kriti Sanon, Parthaa Akerkar",Sanjeev Dutta,Sabir Khan,Two young people find love despite the violent landscape in which they live.,5.2,"9,400"
Judwaa 2,tt5456546,29 Sep 2017,"Action, Comedy","Varun Dhawan, Abhinay Raj Singh, Jacqueline Fernandez","Yunus Sajawal, Farhad Samji, Sajid",David Dhawan,Prem and Raja are twin brothers who are seperated at birth but are uniquely connected to eachother via their reflexes. They reunite as adults and set out to take down the underground smuggling world.,3.6,"10,594"
Manikarnika: The Queen of Jhansi,tt6903440,25 Jan 2019,"Action, Biography, Drama","Kangana Ranaut, Danny Denzongpa, Suresh Oberoi","Vijayendra Prasad, Prasoon Joshi, Himanshu Tripathi","Radha Krishna Jagarlamudi, Kangana Ranaut","Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857, and her resistance to the British Rule.",6.4,"14,737"
Mom,tt2660806,23 Sep 2013,"Comedy, Drama, Romance","Allison Janney, Anna Faris, Mimi Kennedy","Gemma Baker, Eddie Gorodetsky, Chuck Lorre",N/A,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.,7.3,"34,334"
Golmaal Again,tt1806913,20 Oct 2017,"Action, Comedy, Fantasy","Ajay Devgn, Arshad Warsi, Tabu","Rohit Shetty, Yunus Sajawal, Farhad Samji",Rohit Shetty,The gang encounters with some spiritual bodies and finds out the truth about the Jamnadas Orphanage where they were brought up.,4.9,"9,227"
MSG: The Warrior Lion Heart,tt6040012,07 Oct 2016,"Action, Adventure, Fantasy","Muntazir Ahmad, Ashok Insan, Bhushan Insan",Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,"The story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. The story travels centuries apart as he emerges in another role as a modern Indian equivalent of James Bond, a stylish top ...",6.6,"7,421"
Chandni Chowk to China,tt6040012,07 Oct 2016,"Action, Adventure, Fantasy","Muntazir Ahmad, Ashok Insan, Bhushan Insan",Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,"The story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. The story travels centuries apart as he emerges in another role as a modern Indian equivalent of James Bond, a stylish top ...",6.6,"7,421"
Sachin: A Billion Dreams,tt4640206,26 May 2017,"Documentary, Sport","Sachin Tendulkar, Mikhail Gandhi, Anjali Tendulkar","Siva Ananth, James Erskine, Sandeep Shrivastava",James Erskine,A tale of a small boy with dreams and his journey to becoming the God of Cricket and the most celebrated sportsperson in his country.,8.5,"8,030"
Humshakals,tt3036740,20 Jun 2014,"Comedy, Drama, Romance","Saif Ali Khan, Riteish Deshmukh, Ram Kapoor","Sajid Khan, Robin Bhatt, Akarsh Khurana",Sajid Khan,"A comedy centered around three people who each have a lookalike of a lookalike, all with the same name.",1.7,"8,198"
Mission Mangal,tt9248972,15 Aug 2019,"Drama, History, Sci-Fi","Akshay Kumar, Vidya Balan, Taapsee Pannu","R. Balki, Saketh Kondiparthi, Jagan Shakti",Jagan Shakti,"Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.",6.5,"15,429"
Mohra,tt0110546,01 Jul 1994,"Action, Drama, Thriller","Akshay Kumar, Suniel Shetty, Raveena Tandon","Shabbir Boxwala, Rajiv Rai, Naeem Sha",Rajiv Rai,"A journalist comes to the aid of a murderer with a life sentence when she makes an appeal in court and although he is given his freedom, they soon discover that there is a grim reason behind his release.",6.9,"8,157"
Awara Paagal Deewana,tt0319020,21 Jun 2002,"Action, Comedy, Crime","Akshay Kumar, Suniel Shetty, Aftab Shivdasani","Anand S. Vardhan, Mangesh Kulkarni, Neeraj Vora",Vikram Bhatt,A dentist's life turns into a roller coaster ride when he is unknowingly embroiled in gang wars.,6.2,"8,336"
I Hate Luv Storys,tt1667838,02 Jul 2010,"Comedy, Drama, Romance","Imran Khan, Sonam Kapoor, Sammir Dattani",Punit Malhotra,Punit Malhotra,"Jay doesn't believe in love Stories, and Simran, is a girl who's in love with the idea of Love itself.",5.6,"8,001"
Bhoothnath,tt0991346,09 May 2008,"Comedy, Drama, Family","Amitabh Bachchan, Abhinay Raj Singh, Juhi Chawla","Sudhanshu Dube, Vivek Sharma",Vivek Sharma,"Moving into a new house, a family witnesses an unfriendly ghost who wants to drive them away from the house. However, he befriends a little boy who changes his outlook forever.",6.3,"9,386"
Chup Chup Ke,tt0464160,09 Jun 2006,"Comedy, Drama, Romance","Shahid Kapoor, Kareena Kapoor, Om Puri","Priyadarshan, Neeraj Vora, Meccartin","Priyadarshan, Kookie Gulati","A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",6.9,"10,512"
Khoobsurat,tt3554418,19 Sep 2014,"Comedy, Romance","Sonam Kapoor, Fawad Khan, Ratna Pathak Shah","D.N. Mukherjee, Indira Bisht, Juhi Chaturvedi",Shashanka Ghosh,A hopelessly romantic physiotherapist meets a handsome young Rajput prince who is the complete opposite of her and engaged to someone else.,6.4,"8,388"
Singh Is Bliing,tt3696192,02 Oct 2015,"Action, Comedy, Romance","Akshay Kumar, Amy Jackson, Lara Dutta","Chintan Gandhi, Sahar Quaze",Prabhu Deva,A lazy youth failing to take up any responsibility is sent to work with his father's friend in Goa where he meets a woman who has problems of her own.,5.0,"8,437"
Saawariya,tt0758053,09 Nov 2007,"Drama, Musical, Romance","Ranbir Kapoor, Sonam Kapoor, Salman Khan","Fyodor Dostoevsky, Prakash Kapadia, Vibhu Puri",Sanjay Leela Bhansali,"Two souls arrive in a small town, one on vacation, the other to meet a lover. They spend the most magical dream-like days of their lives in that town... with each other.",5.2,"7,812"
Main Tera Hero,tt2762334,04 Apr 2014,"Action, Comedy, Romance","Varun Dhawan, Ileana D'Cruz, Nargis Fakhri","Tushar Hiranandani, Milap Zaveri",David Dhawan,"Seenu and Sunaina fall in love with each other when he saves her from a corrupt policeman who wishes to marry her. Meanwhile, Ayesha, a girl Seenu meets on a train journey, wants to marry him.",5.1,"8,839"
Entertainment,tt3343784,13 Nov 2015,Drama,"Gregg Turkington, John C. Reilly, Tye Sheridan","Rick Alverson, Gregg Turkington, Tim Heidecker",Rick Alverson,"En route to meet his estranged daughter and attempting to revive his dwindling career, a broken, middle-aged comedian plays a string of dead-end shows in the Mojave desert.",5.7,"3,023"
Socha Na Tha,tt0451919,04 Mar 2005,"Comedy, Drama, Romance","Abhay Deol, Ayesha Takia, Ayesha Jhulka","Imtiaz Ali, Ishaan Trivedi",Imtiaz Ali,"A boy is forced meet a girl for an arranged marriage but even though he refuses the match, they secretly become friends. As things get complicated and both get engaged to different people they realize they've fallen in love with e...",7.4,"7,658"
Raju Ban Gaya Gentleman,tt0173102,13 Nov 1992,"Musical, Comedy, Romance","Shah Rukh Khan, Juhi Chawla, Nana Patekar","Manoj Lalwani, Aziz Mirza, Charandas Shokh",Aziz Mirza,"Raju comes to Bombay chasing his dreams, but keeps losing out on opportunities. His love, Renu helps him find a job. Success goes to his head until one day a tragic accident destroys his reputation.",6.7,"7,674"
Shubh Mangal Saavdhan,tt0173102,13 Nov 1992,"Musical, Comedy, Romance","Shah Rukh Khan, Juhi Chawla, Nana Patekar","Manoj Lalwani, Aziz Mirza, Charandas Shokh",Aziz Mirza,"Raju comes to Bombay chasing his dreams, but keeps losing out on opportunities. His love, Renu helps him find a job. Success goes to his head until one day a tragic accident destroys his reputation.",6.7,"7,674"
Veer,tt1185412,22 Jan 2010,"Action, Adventure, Drama","Salman Khan, Mithun Chakraborty, Jackie Shroff","Shailesh Verma, Shaktimaan Talwar, Salman Khan",Anil Sharma,Prithvi seeks revenge on Gyanendra Singh and the British. He sends his son Veer to Britain to study their plans. Veer kills Gyanendra's son but ends up falling in love with his daughter.,4.7,"8,148"
Sarkar Raj,tt0490210,06 Jun 2008,"Action, Crime, Drama","Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan",Prashant Pandey,Ram Gopal Varma,An even more powerful gang emerges to wipe out Sarkar from the playground. A power plant proposal becomes a cause for greater political turmoil around him. What happens to the Family?,6.7,"7,564"
Roy,tt2976182,12 Feb 2015,"Action, Drama, Mystery","Arjun Rampal, Jacqueline Fernandez, Ranbir Kapoor","Vikramjit Singh, Hussain Dalal",Vikramjit Singh,"Successful film-maker Kabir meets with Ayesha and falls in love. He suffers a heartbreak when she leaves him. Meanwhile, a thief named Roy undergoes a change of heart when he experiences love.",3.2,"7,484"
Singham Returns,tt2309764,15 Aug 2014,"Action, Crime, Drama","Ajay Devgn, Kareena Kapoor, Amole Gupte","Rohit Shetty, Yunus Sajawal, Farhad Samji",Rohit Shetty,"Owing to the wrongdoings affiliated with evils similar to black money, an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.",5.7,"8,654"
Agent Vinod,tt1395025,23 Mar 2012,"Action, Adventure, Thriller","Kareena Kapoor, Saif Ali Khan, Rajat Kapoor","Arijit Biswas, Sriram Raghavan",Sriram Raghavan,A series of seemingly unconnected events across the world leads to Agent Vinod undertaking a globe-trotting mission to discover why his colleague was murdered.,5.1,"7,513"
Guide,tt0059246,06 Feb 1965,"Drama, Musical, Romance","Dev Anand, Waheeda Rehman, Leela Chitnis","Vijay Anand, Pearl S. Buck, R.K. Narayan",Vijay Anand,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.",8.4,"8,025"
Dedh Ishqiya,tt2675978,10 Jan 2014,"Comedy, Drama, Romance","Huma Qureshi, Madhuri Dixit, Naseeruddin Shah","Vishal Bhardwaj, Abhishek Chaubey, Darab Farooqui",Abhishek Chaubey,Two lousy crooks find paradise in the seven stages of love.,7.0,"7,209"
Rocky Handsome,tt3410408,25 Mar 2016,"Action, Crime, Drama","John Abraham, Nishikant Kamat, Sharad Kelkar",Ritesh Shah,Nishikant Kamat,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,6.8,"8,267"
Shamitabh,tt3836958,06 Feb 2015,Drama,"Amitabh Bachchan, Dhanush, Akshara Haasan",R. Balki,R. Balki,"An aspiring actor with the inability to speak, joins forces with a man who has a powerful voice. Together they take the film industry by storm, but will their egos get in the way?",6.7,"7,461"
Force,tt1992138,30 Sep 2011,"Action, Crime, Drama","John Abraham, Genelia D'Souza, Vidyut Jammwal","Ritesh Shah, Gautham Vasudev Menon",Nishikant Kamat,A vengeful gangster targets and terrorizes an entire police unit and their families.,6.5,"7,845"
Duplicate,tt0164550,08 May 1998,"Action, Comedy, Crime","Shah Rukh Khan, Juhi Chawla, Sonali Bendre","Robin Bhatt, Akash Khurana, Javed Siddiqui",Mahesh Bhatt,"In order to evade the law, a ruthless don tries to kill his lookalike; a chef and tries to take his place.",5.5,"7,577"
Befikre,tt0164550,08 May 1998,"Action, Comedy, Crime","Shah Rukh Khan, Juhi Chawla, Sonali Bendre","Robin Bhatt, Akash Khurana, Javed Siddiqui",Mahesh Bhatt,"In order to evade the law, a ruthless don tries to kill his lookalike; a chef and tries to take his place.",5.5,"7,577"
Mughal-e-Azam,tt0054098,05 Aug 1960,"Drama, Romance, War","Prithviraj Kapoor, Madhubala, Dilip Kumar","K. Asif, Aman, Kamal Amrohi",K. Asif,A 16th century prince falls in love with a court dancer and battles with his emperor father.,8.1,"8,114"
Page 3,tt0443708,21 Jan 2005,Drama,"Konkona Sen Sharma, Atul Kulkarni, Sandhya Mridul","Nina Arora, Madhur Bhandarkar, Sanjeev Dutta","Madhur Bhandarkar, Jay Dev Banerjee",A look at Mumbai's socialite party circle world through the eyes of a Page 3 journalist.,7.3,"6,877"
Delhi-6,tt1043451,20 Feb 2009,Drama,"Waheeda Rehman, Abhishek Bachchan, Sonam Kapoor","Rakeysh Omprakash Mehra, Prasoon Joshi, Kamlesh Pandey",Rakeysh Omprakash Mehra,"In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots.",6.1,"7,698"
Raja Hindustani,tt0117437,15 Nov 1996,"Action, Comedy, Drama","Aamir Khan, Karisma Kapoor, Suresh Oberoi","Robin Bhatt, Dharmesh Darshan, Javed Siddiqui",Dharmesh Darshan,"Raja, a taxi driver, falls in love with Aarti, a rich girl, and marries her against her parents' wishes. Later, her parents try to create differences amongst the couple.",6.1,"7,645"
Golmaal Returns,tt1092005,29 Oct 2008,"Comedy, Crime, Mystery","Ajay Devgn, Kareena Kapoor, Arshad Warsi","Indie, Rumi Jaffery, Ashiesh Pandit",Rohit Shetty,"A man is sandwiched between his over possessive wife and a police inspector, where he is suspected for adultery and murder.",5.1,"7,890"
Aag,tt0040067,06 Aug 1948,"Musical, Romance","Nargis, Kamini Kaushal, Nigar Sultana",Inder Raj Anand,Raj Kapoor,"Failing to move on from his loss of childhood love, a man turns to his passion for theater.",6.9,381
De Dana Dan,tt1255951,27 Nov 2009,"Action, Comedy, Crime","Akshay Kumar, Suniel Shetty, Katrina Kaif","Jay Master, Ashiesh Pandit, Priyadarshan",Priyadarshan,Two down on their luck men tries to kidnap a wealthy businesswoman's dog to demand a hefty ransom from her. Things goes haywire when the dog goes missing.,5.6,"8,690"
Dhadkan,tt0255111,11 Aug 2000,"Drama, Romance","Akshay Kumar, Shilpa Shetty Kundra, Suniel Shetty","Dharmesh Darshan, Naseem Mukri, Raj Sinha",Dharmesh Darshan,"Anjali and Dev are in love and plan to marry, but her family gets her married to Ram. Years later, Dev shows up to reunite with Anjali, who has managed to fall in love with her husband.",6.5,"7,453"
Saathiya,tt0330843,20 Dec 2002,"Drama, Family, Romance","Vivek Oberoi, Rani Mukerji, Shah Rukh Khan","Mani Ratnam, Gulzar",Shaad Ali,A couple elopes to get married and set up home hoping that just love will do the trick - but that's just the beginning of their story.,6.9,"7,018"
Phir Bhi Dil Hai Hindustani,tt0222270,21 Jan 2000,"Comedy, Drama, Musical","Shah Rukh Khan, Juhi Chawla, Johny Lever","Sanjay Chhel, Raaj Kumar Dahima, Manoj Lalwani",Aziz Mirza,"In order to seek justice for a man who exacts vengeance on a politician, who was responsible for his daughter's death, two rival reporters teams up to help him to prove his innocence.",6.1,"7,559"
Amar Akbar Anthony,tt0075669,27 May 1977,"Action, Comedy, Drama","Vinod Khanna, Rishi Kapoor, Amitabh Bachchan","Smt. Jeevanprabha M. Desai, Kader Khan, Prayag Raj",Manmohan Desai,"Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.",7.4,"7,691"
Chillar Party,tt0075669,27 May 1977,"Action, Comedy, Drama","Vinod Khanna, Rishi Kapoor, Amitabh Bachchan","Smt. Jeevanprabha M. Desai, Kader Khan, Prayag Raj",Manmohan Desai,"Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.",7.4,"7,691"
Love per Square Foot,tt7853242,14 Feb 2018,"Comedy, Romance","Vicky Kaushal, Angira Dhar, Alankrita Sahai","Asif Ali Beg, Anand Tiwari, Sumeet Vyas",Anand Tiwari,"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.",7.2,"8,238"
Rehnaa Hai Terre Dil Mein,tt0299108,19 Oct 2001,"Musical, Romance","Madhavan, Saif Ali Khan, Dia Mirza","Gautham Vasudev Menon, Vipul D. Shah",Gautham Vasudev Menon,A young girl is torn between an obsessive lover and a mild-mannered suitor.,7.5,"8,200"
Salaam Namaste,tt0456165,09 Sep 2005,"Comedy, Drama, Romance","Saif Ali Khan, Preity Zinta, Arshad Warsi","Siddharth Anand, Habib Faisal, Abbas Tyrewala",Siddharth Anand,A quirky take on life and relationships that looks at a fairy tale with a bit of a squint and an endearing look at what being in love really means.,6.1,"7,464"
Ishaqzaade,tt2308773,11 May 2012,"Action, Drama, Romance","Arjun Kapoor, Parineeti Chopra, Gauahar Khan","Aditya Chopra, Habib Faisal",Habib Faisal,"While fighting for the political supremacy of their respective families, a Hindu man and a Muslim woman share a forbidden romance.",6.5,"7,697"
Once Upon ay Time in Mumbai Dobaara!,tt2308773,11 May 2012,"Action, Drama, Romance","Arjun Kapoor, Parineeti Chopra, Gauahar Khan","Aditya Chopra, Habib Faisal",Habib Faisal,"While fighting for the political supremacy of their respective families, a Hindu man and a Muslim woman share a forbidden romance.",6.5,"7,697"
Baaghi,tt4864932,29 Apr 2016,"Action, Romance, Thriller","Tiger Shroff, Shraddha Kapoor, Sudheer Babu Posani","Shifuji Shaurya Bharadwaj, Sanjeev Datta, Sanjeev Dutta",Sabir Khan,A martial arts student seeks revenge after the murder of his master.,5.3,"8,826"
Ek Main Aur Ekk Tu,tt1703958,10 Feb 2012,"Comedy, Drama, Romance","Kareena Kapoor, Boman Irani, Imran Khan","Shakun Batra, Ayesha DeVitre",Shakun Batra,A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?,5.7,"6,771"
Hum Tumhare Hain Sanam,tt0222024,24 May 2002,"Comedy, Drama, Romance","Shah Rukh Khan, Madhuri Dixit, Salman Khan","K.S. Adiyaman, Arun Kumar, Ashok Mehta",K.S. Adiyaman,"Gopal's blissful married life with Radha blemishes when Radha gets obsessed with the career of her friend, Suraj, who is a singer. Ripped apart by jealousy, Gopal deserts Radha.",5.5,"6,901"
Manorama Six Feet Under,tt0920464,21 Sep 2007,"Crime, Drama, Mystery","Abhay Deol, Gul Panag, Raima Sen","Devika Bhagat, Navdeep Singh, Manoj Tapadia",Navdeep Singh,"Satyaveer accepts money from Manorama, wife of an irrigation minister, to collect evidence against her husband for having an extra-marital affair. He accepts, unaware that he too is being deceived.",7.6,"8,058"
Ek Hasina Thi,tt0352314,16 Jan 2004,"Crime, Drama, Mystery","Saif Ali Khan, Urmila Matondkar, Seema Biswas","Sriram Raghavan, Sidney Sheldon, Pooja Ladha Surti",Sriram Raghavan,"A woman falls for a charming and mysterious businessman. The whirlwind romance turns sour when she is framed for his underworld crimes. Now, finally out of prison she is ready for sweet revenge.",7.5,"7,322"
Hum Saath-Saath Hain,tt0216817,05 Nov 1999,"Drama, Musical","Mohnish Bahl, Salman Khan, Saif Ali Khan",Sooraj R. Barjatya,Sooraj R. Barjatya,"Ramkishen and Mamta have three sons Vivek , Prem and Vinod and a daughter Sangeeta. This family is part of a joint family whose close knit bond is challenged by a misunderstanding.",6.2,"8,479"
Viceroy's House,tt4977530,01 Sep 2017,"Biography, Drama, History","Hugh Bonneville, Gillian Anderson, Manish Dayal","Paul Mayeda Berges, Gurinder Chadha, Moira Buffini",Gurinder Chadha,"The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as d...",6.7,"7,708"
Mission Kashmir,tt0248185,27 Oct 2000,"Action, Drama, Thriller","Sanjay Dutt, Hrithik Roshan, Preity Zinta","Vikram Chandra, Vidhu Vinod Chopra, Abhijat Joshi",Vidhu Vinod Chopra,A police officer adopts the son and sole survivor of a family he has massacred while pursuing a terrorist. After some time the foster son finds out what the stepfather did.,6.6,"7,095"
Dishoom,tt3679060,29 Jul 2016,"Action, Adventure, Comedy","John Abraham, Varun Dhawan, Jacqueline Fernandez","Rohit Dhawan, Tushar Hiranandani, Hussain Dalal",Rohit Dhawan,"When India's top batsman goes missing in the Middle East, two mismatched cops must team up for a 36-hour manhunt before the cricket final.",5.1,"7,888"
Murder 2,tt1918965,08 Jul 2011,"Action, Crime, Drama","Emraan Hashmi, Jacqueline Fernandez, Prashant Narayanan","Mahesh Bhatt, Shagufta Rafique",Mohit Suri,An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.,6.3,"7,127"
Finding Fanny,tt3142688,12 Sep 2014,"Adventure, Comedy, Drama","Deepika Padukone, Arjun Kapoor, Naseeruddin Shah","Homi Adajania, Kersi Khambatta",Homi Adajania,A man embarks on a road trip to find his lost love.,5.7,"6,454"
Awarapan,tt1020937,29 Jun 2007,"Action, Crime, Drama","Emraan Hashmi, Mrinalini Sharma, Ashish Vidyarthi",Shagufta Rafique,Mohit Suri,"A loyal henchman is ordered by his boss to keep an eye on his mistress, and trouble begins when he refuses to kill her.",7.3,"7,250"
Sui Dhaaga,tt7147540,28 Sep 2018,"Comedy, Drama","Anushka Sharma, Raghuvir Yadav, Varun Dhawan",Sharat Katariya,Sharat Katariya,An unemployed small-town man defies all odds and naysayers and starts his own garment business.,6.7,"8,265"
Ship of Theseus,tt1773764,19 Jul 2013,Drama,"Aydah El-Kashef, Yogesh Shah, Faraz Khan","Anand Gandhi, Khushboo Ranka, Pankaj Kumar",Anand Gandhi,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",8.0,"7,317"
No Smoking,tt0995740,26 Oct 2007,"Drama, Horror, Mystery","John Abraham, Ayesha Takia, Paresh Rawal","Raj Singh Chaudhary, Anurag Kashyap",Anurag Kashyap,A heavily addicted smoker is unprepared for the true price he must pay when he asks a guru's help to kick the habit.,7.2,"7,484"
Matru Ki Bijlee Ka Mandola,tt2106537,11 Jan 2013,"Comedy, Drama","Pankaj Kapur, Imran Khan, Anushka Sharma","Vishal Bhardwaj, Abhishek Chaubey",Vishal Bhardwaj,"Harry is an industrialist who loves his daughter Bijlee, and the bond they share with Harry's man friday, Matru. Bijlee's plan to wed the son of a politician, however, brings twists and turns in the lives of Matru, Bijlee and Mand...",5.6,"6,178"
Hulchul,tt0437238,26 Nov 2004,"Action, Comedy, Drama","Akshaye Khanna, Kareena Kapoor, Amrish Puri","Jay Master, K.P. Saxena, Siddique",Priyadarshan,"A man and woman from feuding families each pretend to fall in love, as part of a revenge plot. Chaos ensues when their fake romance becomes a reality.",7.0,"8,107"
Bunty Aur Babli,tt0448206,27 May 2005,"Comedy, Crime, Drama","Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan","Aditya Chopra, Jaideep Sahni",Shaad Ali,A small town pair become the legendary Bunty and Babli as caper after caper they turn the world on its head. Till they meet a very upset cop.,6.2,"7,361"
Manmarziyaan,tt0448206,27 May 2005,"Comedy, Crime, Drama","Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan","Aditya Chopra, Jaideep Sahni",Shaad Ali,A small town pair become the legendary Bunty and Babli as caper after caper they turn the world on its head. Till they meet a very upset cop.,6.2,"7,361"
Shuddh Desi Romance,tt2988272,06 Sep 2013,"Comedy, Drama, Romance","Sushant Singh Rajput, Parineeti Chopra, Rishi Kapoor","Sameer Rajda, Jaideep Sahni",Maneesh Sharma,A romantic comedy which tells the journey of three restless young people who junk society's syllabus for finding love and decide to follow their heart.,5.8,"9,657"
